"Representative","Office Running For","Cash on Hand"
"Steve Scalise (R-La) ","Louisiana District 01","$12440"
"Hank Johnson (D-Ga) ","Georgia District 04","$11085"
"Dennis J Kucinich (D) ","Ohio District 10","$9518"
"Tim Mahoney (D-Fla) ","Florida District 16","$8461"
"Christopher Shays (R-Conn) ","Connecticut District 04","$7983"
"Jeff Miller (R-Fla) ","Florida District 01","$7577"
"Heather A Wilson (R-NM) ","New Mexico SenateCurrent office: New Mexico District 01","$7502"
"Eni F H Faleomavaega (D-AS) ","American Samoa District 00","$6821"
"Dave Reichert (R-Wash) ","Washington District 08","$6666"
"Diane E Watson (D-Calif) ","California District 33","$6624"
"Alan B Mollohan (D-WVa) ","West Virginia District 01","$6575"
"Steve Chabot (R-Ohio) ","Ohio District 01","$6336"
"Steve Pearce (R-NM) ","New Mexico SenateCurrent office: New Mexico District 02","$5605"
"John Shadegg (R-Ariz) ","Arizona District 03","$5564"
"Steve Kagen (D-Wis) ","Wisconsin District 08","$4972"
"Jim McDermott (D-Wash) ","Washington District 07","$4548"
"Ric Keller (R-Fla) ","Florida District 08","$4008"
"Rick Renzi (R-Ariz) ","Arizona District 01","$3825"
"Donald J Cazayoux (D-La) ","Louisiana District 06","$2672"
"Chris Cannon (R-Utah) ","Utah District 03","$2572"
"David Scott (D-Ga) ","Georgia District 13","$2568"
"Michele Bachmann (R-Minn) ","Minnesota District 06","$1918"
"William J Jefferson (D-La) ","Louisiana District 02","$1164"
"Baron Hill (D-Ind) ","Indiana District 09","$1066"
"Tom Davis (R-Va) ","Virginia District 11","$408"
"Barbara Cubin (R-Wyo) ","Wyoming District 01","$245"
